Ref,Val,Package,PosX,PosY,Rot,Side
"R42","59k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",251.460000,-127.000000,180.000000,top
"R43","7.87k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",249.936000,-133.350000,180.000000,top
"R44","243k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",257.937000,-135.255000,90.000000,top
"R45","107k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",260.350000,-138.557000,0.000000,top
"R46","14.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",264.033000,-138.557000,0.000000,top
"R47","453k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",269.240000,-130.810000,90.000000,top
"R48","78.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",293.497000,-119.380000,0.000000,top
"R49","7.32k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",293.497000,-121.412000,180.000000,top
"R50","160k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",300.482000,-119.634000,-90.000000,top
"R51","66.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",291.084000,-125.730000,180.000000,top
"R52","2.87k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",289.306000,-133.350000,180.000000,top
"R53","270k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",297.307000,-135.255000,90.000000,top
"R54","95.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",299.720000,-138.557000,0.000000,top
"R55","4.02k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",303.403000,-138.557000,0.000000,top
"R56","383k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",308.610000,-130.810000,90.000000,top
"R57","11.5k","R_0805_2012Metric",332.867000,-119.380000,0.000000,top
"R58","48.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",332.867000,-121.412000,180.000000,top
"R59","22.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",339.852000,-119.634000,-90.000000,top
"R60","8.06k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",330.454000,-125.730000,180.000000,top
"R61","4.32k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",328.676000,-133.350000,180.000000,top
"R62","37.4k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",336.677000,-134.874000,90.000000,top
"R63","19.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",339.090000,-138.557000,0.000000,top
"R64","10.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",342.773000,-138.557000,0.000000,top
"R65","90.9k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",347.980000,-130.810000,90.000000,top
"R66","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.140000,-88.900000,-90.000000,top
"R67","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.510000,-88.900000,-90.000000,top
"R68","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.880000,-88.900000,-90.000000,top
"R69","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.250000,-88.900000,-90.000000,top
"R70","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",261.620000,-88.900000,-90.000000,top
"R71","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",300.990000,-88.900000,-90.000000,top
"R72","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",340.360000,-88.900000,-90.000000,top
"R73","20k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",321.310000,-166.370000,0.000000,top
"R74","102k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",321.310000,-168.402000,180.000000,top
"R75","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.140000,-74.930000,90.000000,top
"R76","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.510000,-74.930000,90.000000,top
"R77","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.880000,-74.930000,90.000000,top
"R78","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.250000,-74.930000,90.000000,top
"R79","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",261.620000,-74.930000,90.000000,top
"R80","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",300.990000,-74.930000,90.000000,top
"R81","680","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",340.360000,-74.930000,90.000000,top
"R82","620","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",337.058000,-163.322000,0.000000,top
"RV1","10k_LED_Brightness_Pot","PTV09",168.910000,-176.334750,0.000000,top
"RV2","5k_Rhi_Adjuster","PTV09",232.410000,-176.334750,0.000000,top
"SW1","SW_SPDT","SW_OS102011MS2QN1",106.680000,-168.910000,180.000000,top
"SW2","SW_SPST","E-SWITCH_RR511D1121",299.720000,-163.830000,180.000000,top
"U1","LM324","SOIC-14_3.9x8.7mm_P1.27mm",105.410000,-128.270000,0.000000,top
"U2","LM324","SOIC-14_3.9x8.7mm_P1.27mm",144.780000,-128.270000,0.000000,top
"U3","LM324","SOIC-14_3.9x8.7mm_P1.27mm",184.150000,-128.270000,0.000000,top
"U4","LM324","SOIC-14_3.9x8.7mm_P1.27mm",223.520000,-128.270000,0.000000,top
"U5","LM324","SOIC-14_3.9x8.7mm_P1.27mm",262.890000,-128.270000,0.000000,top
"U6","LM324","SOIC-14_3.9x8.7mm_P1.27mm",302.260000,-128.270000,0.000000,top
"U7","LM324","SOIC-14_3.9x8.7mm_P1.27mm",341.630000,-128.270000,0.000000,top
"U8","LT1054","DIP794W45P254L959H508Q8",321.570000,-158.750000,0.000000,top
"U9","MC78L05_TO92","TO-92_Inline",276.860000,-163.830000,180.000000,top
"U10","LM3915N-1","DIP-18_W7.62mm_Socket",99.060000,-99.060000,180.000000,top
"U11","LM3915N-1","DIP-18_W7.62mm_Socket",138.430000,-99.060000,180.000000,top
"U12","LM3915N-1","DIP-18_W7.62mm_Socket",177.800000,-99.060000,180.000000,top
"U13","LM3915N-1","DIP-18_W7.62mm_Socket",217.170000,-99.060000,180.000000,top
"U14","LM3915N-1","DIP-18_W7.62mm_Socket",256.540000,-99.060000,180.000000,top
"U15","LM3915N-1","DIP-18_W7.62mm_Socket",295.910000,-99.060000,180.000000,top
"U16","LM3915N-1","DIP-18_W7.62mm_Socket",335.280000,-99.060000,180.000000,top
"U17","NCP161ASN350T1G","SOT-23-5",215.072500,-171.450000,180.000000,top
"U18","NCS333ASQ3T2G","SOT-353_SC-70-5",246.380000,-171.450000,0.000000,top
